Wall time,Step,Value
1732822646.735127,42,-63.046653747558594
1732822647.720083,167,-63.10511779785156
1732822648.243124,229,-62.954952239990234
1732822649.9147909,474,-61.453285217285156
1732822650.339286,536,-61.84882736206055
1732822650.6754649,586,-65.04451751708984
1732822651.105986,647,-60.667057037353516
1732822653.758684,1014,-59.967796325683594
1732822655.980854,1333,-62.16679000854492
1732822656.35379,1385,-61.02638244628906
1732822656.701966,1436,-63.377159118652344
1732822658.7910268,1737,-61.438011169433594
1732822659.812424,1877,-61.419368743896484
1732822662.84605,2307,-60.03921127319336
1732822663.628302,2389,-59.530574798583984
1732822664.452217,2486,-59.03284454345703
1732822666.173536,2685,-61.25541687011719
1732822671.316191,3246,-61.706050872802734
1732822671.750174,3305,-60.45274353027344
1732822679.1766882,4317,-61.47422409057617
1732822679.740581,4400,-59.99419403076172
1732822680.364749,4492,-59.26935958862305
1732822680.49262,4509,-63.02479934692383
1732822684.0343099,4971,-60.72439956665039
1732822685.380991,5134,-61.91447448730469
1732822687.086474,5345,-60.014915466308594
1732822689.725545,5723,-61.78178405761719
1732822691.0291011,5907,-60.76387023925781
1732822691.6798332,5990,-59.91997528076172
1732822693.295742,6200,-61.29016876220703
1732822696.8645551,6699,-60.719970703125
1732822696.960812,6711,-59.11115646362305
1732822698.103907,6854,-61.88909912109375
1732822698.978121,6966,-60.35112762451172
1732822700.322211,7155,-61.72199249267578
1732822702.478198,7463,-60.3104248046875
1732822704.7668421,7798,-59.759605407714844
1732822705.004286,7833,-58.629905700683594
1732822706.640926,8066,-61.42955780029297
1732822707.5195708,8180,-58.592063903808594
1732822707.836833,8221,-62.82383346557617
1732822709.917922,8498,-59.0089111328125
1732822712.7452102,8878,-60.5866813659668
1732822713.1796951,8935,-59.16659927368164
1732822715.535512,9260,-60.41554260253906
1732822716.9840682,9468,-60.42936706542969
1732822717.580588,9554,-60.071998596191406
1732822718.662026,9698,-60.3272819519043
1732822723.68126,10399,-60.5490837097168
1732822724.2547,10479,-60.85264587402344
1732822727.144456,10905,-60.102115631103516
1732822727.545475,10966,-60.9365234375
1732822727.9233348,11020,-62.196998596191406
1732822731.400162,11532,-65.79743194580078
1732822731.627771,11566,-60.402923583984375
1732822734.608258,11969,-62.2044563293457
1732822736.148739,12164,-61.697715759277344
1732822737.046043,12290,-62.32023239135742
1732822741.3273852,12877,-62.86516571044922
1732822742.497827,13034,-61.954566955566406
1732822742.697046,13061,-59.77604675292969
1732822751.6667972,14294,-60.29638671875
1732822754.381952,14668,-62.20180130004883
1732822755.197891,14779,-59.54784393310547
1732822755.871663,14873,-63.61503601074219
1732822760.143577,15473,-63.66881561279297
1732822762.087138,15764,-59.983314514160156
1732822764.4723752,16116,-60.364227294921875
1732822769.447993,16857,-62.682464599609375
1732822770.886388,17066,-62.535423278808594
1732822771.1140192,17097,-62.05025863647461
1732822772.564331,17317,-63.40428161621094
1732822774.0187662,17543,-60.838706970214844
1732822787.184438,19531,-63.3759765625
