Wall time,Step,Value
1732985941.432791,167,0.44644874334335327
1732985943.04976,474,0.15387758612632751
1732985943.392071,536,0.1542627066373825
1732985943.649877,586,0.2203313112258911
1732985943.965683,647,0.15828876197338104
1732985948.0662742,1436,0.11352364718914032
1732985949.638456,1737,0.09284891933202744
1732985952.5942342,2307,0.17656897008419037
1732985953.0158699,2389,0.08753839880228043
1732985953.531738,2486,0.07595483213663101
1732985957.4652748,3246,0.14409461617469788
1732985963.9352498,4492,0.1253507137298584
1732985967.249386,5134,0.1150730699300766
1732985971.367212,5907,0.21156829595565796
1732985975.921794,6699,0.08976525813341141
1732985975.992835,6711,0.10936768352985382
1732985977.496027,6966,0.175577312707901
1732985980.354032,7463,0.15769800543785095
1732985982.208639,7798,0.17596274614334106
1732985982.4021351,7833,0.2766052484512329
1732985986.119263,8498,0.10636645555496216
1732985990.369513,9260,0.11500141024589539
1732985991.51899,9468,0.09355513751506805
1732985996.771848,10399,0.2451002448797226
1732985999.6156878,10905,0.06657002866268158
1732985999.973779,10966,0.10345128178596497
1732986003.156747,11532,0.1712920069694519
1732986005.648152,11969,0.12992341816425323
1732986010.787889,12877,0.18592000007629395
1732986011.668173,13034,0.20878776907920837
1732986018.8026009,14294,0.13085974752902985
1732986020.939847,14668,0.14140810072422028
1732986021.559854,14779,0.0926247239112854
1732986029.155241,16116,0.0736338347196579
1732986033.34336,16857,0.2847474217414856
1732986035.959312,17317,0.15144433081150055
1732986037.230805,17543,0.1914692521095276
1732986048.492655,19531,0.08864694833755493
1732986049.107858,19640,0.07803995907306671
1732986051.586276,20062,0.34576547145843506
1732986054.296784,20539,0.12371707707643509
1732986054.517159,20578,0.08375611156225204
1732986056.088344,20855,0.11833737790584564
1732986057.379779,21080,0.14532673358917236
1732986057.7415931,21144,0.14556394517421722
1732986058.730131,21319,0.16189400851726532
1732986064.503223,22330,0.08543437719345093
1732986064.662883,22358,0.16686992347240448
1732986069.9274518,23286,0.08609215170145035
1732986070.366045,23361,0.3413190245628357
1732986070.73882,23427,0.2106405794620514
1732986072.159704,23670,0.17122960090637207
1732986072.3362932,23701,0.2040821611881256
1732986074.84029,24147,0.10482284426689148
1732986075.8516412,24322,0.18953226506710052
1732986078.161453,24727,0.13816361129283905
1732986079.332834,24934,0.1653377115726471
1732986081.158665,25253,0.13699737191200256
1732986089.978871,26797,0.07188428938388824
1732986102.658238,28970,0.16454197466373444
1732986102.8135638,28996,0.051053378731012344
1732986107.710559,29829,0.20147991180419922
1732986111.526829,30470,0.07100760191679001
1732986112.363009,30612,0.16486135125160217
1732986112.9347572,30706,0.3877042531967163
1732986117.0834,31406,0.07840211689472198
1732986117.299943,31443,0.15807247161865234
1732986120.235782,31936,0.2344236522912979
1732986123.2342138,32435,0.11889524012804031
1732986127.6961439,33181,0.5167298913002014
1732986131.029214,33737,0.17088386416435242
1732986131.10049,33749,0.09644754976034164
1732986131.313751,33785,0.08925942331552505
1732986131.632737,33839,0.1448565125465393
1732986131.866339,33876,0.07077370584011078
1732986132.0908868,33913,0.07682210952043533
1732986134.79349,34362,0.11487873643636703
1732986135.766175,34525,0.1745220422744751
1732986136.2060559,34599,0.16753894090652466
1732986141.536563,35483,0.11404289305210114
1732986144.4691288,35953,0.1024746298789978
1732986144.980299,36037,0.1055309996008873
1732986148.5560079,36629,0.15355297923088074
1732986148.7480571,36659,0.14369983971118927
1732986149.893949,36850,0.0869051069021225
1732986151.997941,37202,0.16320852935314178
1732986153.7353039,37489,0.12719042599201202
1732986155.39152,37764,0.15946249663829803
1732986156.061333,37876,0.18382275104522705
1732986161.15318,38720,0.1013457179069519
1732986161.8677702,38840,0.18148601055145264
1732986164.624725,39296,0.13364863395690918
1732986167.029932,39702,0.1297810673713684
1732986173.5633888,40793,0.15545471012592316
1732986176.416765,41271,0.0914933979511261
1732986181.573728,42134,0.039334554225206375
1732986183.587064,42468,0.1423882395029068
1732986190.562102,43639,0.13115555047988892
1732986190.992864,43711,0.16968080401420593
1732986191.551807,43805,0.10895135998725891
1732986192.662068,43993,0.10666780918836594
1732986193.908747,44200,0.051061224192380905
1732986194.208027,44251,0.1406400203704834
1732986194.5224729,44304,0.11103164404630661
1732986197.5481951,44816,0.07814312726259232
1732986198.4199839,44964,0.04978123679757118
1732986200.865083,45372,0.346267431974411
1732986201.6600692,45507,0.17701739072799683
1732986202.549012,45658,0.10187375545501709
1732986206.585969,46334,0.20385539531707764
1732986207.054131,46413,0.07040898501873016
1732986214.956465,47744,0.059565022587776184
1732986216.303027,47970,0.16172106564044952
1732986217.58824,48181,0.0919128805398941
1732986224.041966,49272,0.20244117081165314
1732986228.7193542,50056,0.12659959495067596
1732986233.261656,50819,0.20004397630691528
1732986235.133035,51134,0.075766421854496
1732986235.679883,51227,0.11405336856842041
1732986239.055649,51798,0.04992768540978432
1732986245.6396859,52906,0.11503903567790985
1732986246.755218,53092,0.09625847637653351
1732986248.972276,53468,0.1567516326904297
1732986251.308534,53862,0.05592659115791321
1732986256.9568698,54807,0.07320372015237808
1732986266.063096,56337,0.1789826601743698
1732986267.1636999,56521,0.057082101702690125
1732986268.950912,56820,0.12086616456508636
1732986280.5872939,58719,0.09863502532243729
1732986280.7480671,58746,0.2002575844526291
1732986280.844828,58763,0.10882267355918884
1732986288.4895449,60179,0.08014234900474548
1732986288.5225,60185,0.10435020178556442
1732986290.085113,60475,0.15460652112960815
1732986299.065119,62139,0.06408838927745819
1732986301.258676,62547,0.09985437244176865
1732986307.321056,63671,0.07262406498193741
1732986311.912571,64521,0.06843040883541107
1732986317.9565911,65643,0.07431280612945557
