Wall time,Step,Value
1732833040.273205,167,-57.082275390625
1732833042.1660101,474,-57.983978271484375
1732833042.5572622,536,-57.88947296142578
1732833042.855965,586,-57.83657455444336
1732833047.98108,1436,-57.706790924072266
1732833053.2499719,2307,-58.19596481323242
1732833053.7521112,2389,-56.11726379394531
1732833054.32833,2486,-57.76715850830078
1732833058.906865,3246,-57.99971389770508
1732833066.4107451,4492,-58.7928466796875
1732833070.300131,5134,-55.688385009765625
1732833079.8548129,6711,-56.35901641845703
1732833081.388157,6966,-57.994056701660156
1732833084.387486,7463,-57.42721176147461
1732833086.387546,7798,-57.008392333984375
1732833096.440901,9260,-57.744625091552734
1732833097.712944,9468,-56.9931526184082
1732833103.554155,10399,-57.68276596069336
1732833106.621114,10905,-56.674686431884766
1732833106.985773,10966,-57.54309844970703
1732833112.9606578,11969,-57.889060974121094
1732833126.6875331,14294,-56.1149787902832
1732833128.833664,14668,-59.10805130004883
1732833129.469426,14779,-57.93689727783203
1732833137.1313238,16116,-57.668392181396484
1732833145.168757,17543,-57.49376678466797
1732833156.809568,19640,-56.927734375
1732833159.1103292,20062,-57.225955963134766
1732833161.7641752,20539,-57.678565979003906
1732833161.9769778,20578,-58.26172637939453
1732833163.4784489,20855,-57.333396911621094
1732833166.010613,21319,-57.146583557128906
1732833171.55448,22330,-58.264556884765625
1732833176.76737,23286,-58.35749816894531
1732833177.175963,23361,-59.05766677856445
1732833179.01653,23701,-57.25593948364258
1732833181.478004,24147,-57.97609329223633
1732833182.456901,24322,-59.23402404785156
1732833184.66715,24727,-59.157630920410156
1732833187.6149042,25253,-57.85821533203125
1732833208.1978738,28996,-59.11024856567383
1732833212.812246,29829,-58.34324264526367
1732833217.1377962,30612,-58.1960334777832
1732833217.657557,30706,-58.5634765625
1732833221.7472372,31443,-58.36357116699219
1732833224.5309381,31936,-59.243534088134766
1732833227.298739,32435,-58.97401809692383
1732833231.4665768,33181,-57.98754119873047
1732833234.629868,33749,-58.897769927978516
1732833234.8335328,33785,-59.15480422973633
1732833235.129654,33839,-58.19999694824219
1732833235.33467,33876,-58.17461395263672
1732833238.946883,34525,-58.65099334716797
1732833246.828854,35953,-57.72593688964844
1732833250.554744,36629,-58.02644348144531
1732833250.717234,36659,-58.99114227294922
1732833256.8046238,37764,-59.207122802734375
1732833257.4114308,37876,-57.83192825317383
1732833262.060917,38720,-58.56073760986328
1732833262.709568,38840,-58.337562561035156
1732833267.394635,39702,-58.83179473876953
1732833276.1540391,41271,-58.84429931640625
1732833282.654679,42468,-57.65370559692383
1732833289.028235,43639,-58.374168395996094
1732833289.421249,43711,-58.866600036621094
1732833290.957354,43993,-59.23544692993164
1732833292.074674,44200,-58.303802490234375
1732833292.347757,44251,-58.37949752807617
1732833296.2419379,44964,-58.37282180786133
1732833298.436608,45372,-60.07040023803711
1732833303.674701,46334,-58.290218353271484
1732833304.1019468,46413,-57.675567626953125
1732833311.395278,47744,-58.238067626953125
1732833312.629971,47970,-58.55315399169922
1732833313.780758,48181,-58.49263000488281
1732833319.7847629,49272,-58.5090446472168
1732833328.31961,50819,-58.3271484375
